id,Cylinder26,Cylinder36,Cylinder46,,
316,47.9,55.5,68.3,1.208208031,55.57756943
317,48,55.7,67.6,1.195825226,55.00796038
318,48.1,55.9,67.2,1.188749337,54.68246949
319,48.2,56.6,67.5,1.194056253,54.92658765
320,48.2,56.4,68.1,1.204670087,55.41482399
321,48.2,56.3,68.7,1.21528392,55.90306032
322,48.2,56.1,69,1.220590837,56.14717849
323,48.1,56.1,69.1,1.222359809,56.22855121
324,48.1,56.1,68.6,1.213514948,55.8216876
325,47.9,56.2,68.2,1.206439059,55.49619671
326,47.8,56.2,67.8,1.19936317,55.17070582
327,47.7,56.1,67.7,1.197594198,55.0893331
328,47.8,55.8,68,1.202901114,55.33345126
329,48.1,55.5,68.1,1.204670087,55.41482399
330,48.4,55.2,68,1.202901114,55.33345126
331,48.5,55.2,67.9,1.201132142,55.25207854
332,48.5,55.4,67.7,1.197594198,55.0893331
333,48.6,55.6,67.2,1.188749337,54.68246949
334,48.6,55.5,66.6,1.178135503,54.19423315
335,48.5,55.5,66.7,1.179904475,54.27560587
336,48.6,55.9,67.4,1.192287281,54.84521493
337,48.6,56.1,67.7,1.197594198,55.0893331
338,48.6,55.9,67.6,1.195825226,55.00796038
339,48.7,55.8,67.4,1.192287281,54.84521493
340,48.6,55.7,67.3,1.190518309,54.76384221
341,48.6,55.8,67.7,1.197594198,55.0893331
342,48.6,55.6,67.9,1.201132142,55.25207854
343,48.7,55.5,67.6,1.195825226,55.00796038
344,48.7,55.6,67.4,1.192287281,54.84521493
345,48.6,55.7,67.9,1.201132142,55.25207854
346,48.4,55.6,68.3,1.208208031,55.57756943
347,48.1,55.6,68.8,1.217052892,55.98443304
348,47.8,55.8,68.7,1.21528392,55.90306032
349,47.8,56.1,68.3,1.208208031,55.57756943
350,47.9,56.4,68.2,1.206439059,55.49619671
351,48.2,56.6,68.3,1.208208031,55.57756943
352,48.2,56.7,68,1.202901114,55.33345126
353,48.2,55.7,68.2,1.206439059,55.49619671
354,48.2,55.5,68.3,1.208208031,55.57756943
355,48.3,55.4,68,1.202901114,55.33345126
356,48.5,55.4,67.2,1.188749337,54.68246949
357,48.6,55.9,67,1.185211392,54.51972404
358,48.7,55.5,67.1,1.186980364,54.60109676
359,48.7,55.5,67.2,1.188749337,54.68246949
360,48.5,56.1,66.7,1.179904475,54.27560587
361,48.4,56.4,66.3,1.172828587,53.95011498
362,48.1,56.5,67,1.185211392,54.51972404
363,47.8,56.8,67.6,1.195825226,55.00796038
364,47.7,56.9,67.6,1.195825226,55.00796038
365,47.8,56.7,67.3,1.190518309,54.76384221
366,48.1,56.4,67.4,1.192287281,54.84521493
367,48.3,55.9,67.4,1.192287281,54.84521493
368,48.4,55.5,67.2,1.188749337,54.68246949
369,48.4,55.6,67,1.185211392,54.51972404
370,48.4,55.8,66.9,1.18344242,54.43835132
371,48.5,55.9,67.2,1.188749337,54.68246949
372,48.5,55.9,67.5,1.194056253,54.92658765
373,48.5,55.8,67.8,1.19936317,55.17070582
374,48.4,55.5,68,1.202901114,55.33345126
375,48.3,55.6,68.2,1.206439059,55.49619671
376,48.3,55.8,68.2,1.206439059,55.49619671
377,48.2,55.8,68.1,1.204670087,55.41482399
378,48.2,55.8,67.8,1.19936317,55.17070582
379,48.4,55.7,68.1,1.204670087,55.41482399
380,48.6,56.2,68.3,1.208208031,55.57756943
381,48.8,56.5,68.5,1.211745976,55.74031488
382,48.8,56.7,68.3,1.208208031,55.57756943
383,48.6,56.5,68,1.202901114,55.33345126
384,48.4,56.3,67.8,1.19936317,55.17070582
385,48.4,56.3,67.6,1.195825226,55.00796038
386,48.5,56.1,67.4,1.192287281,54.84521493
387,48.5,56.2,67.2,1.188749337,54.68246949
388,48.5,56.3,67.1,1.186980364,54.60109676
389,48.4,56.2,67.5,1.194056253,54.92658765
390,48.5,56,67.7,1.197594198,55.0893331
391,48.7,55.8,67.8,1.19936317,55.17070582
392,48.5,55.7,67.6,1.195825226,55.00796038
393,48.6,55.8,67.3,1.190518309,54.76384221
394,48.8,55.6,67.1,1.186980364,54.60109676
395,48.7,55.4,67.2,1.188749337,54.68246949
396,48.6,55.5,67.5,1.194056253,54.92658765
397,48.5,55.1,68,1.202901114,55.33345126
398,48.4,54.8,68.3,1.208208031,55.57756943
399,48.1,54.9,68.1,1.204670087,55.41482399
400,47.8,55.7,67.6,1.195825226,55.00796038
401,47.5,56.8,67.5,1.194056253,54.92658765
402,47.4,57.2,67.5,1.194056253,54.92658765
403,47.5,57.4,67.6,1.195825226,55.00796038
404,47.6,57.4,67.8,1.19936317,55.17070582
405,47.7,57.1,68,1.202901114,55.33345126
406,47.9,56.6,68.2,1.206439059,55.49619671
407,48.1,56,68.3,1.208208031,55.57756943
408,48.3,55.6,68.2,1.206439059,55.49619671
409,48.4,55.8,68,1.202901114,55.33345126
410,48.6,55.9,67.7,1.197594198,55.0893331
411,48.6,56.1,67.5,1.194056253,54.92658765
412,48.7,56.2,67.2,1.188749337,54.68246949
413,48.7,56.4,66.7,1.179904475,54.27560587
414,48.7,56.5,66.5,1.176366531,54.11286043
415,48.4,56.4,66.4,1.174597559,54.03148771
416,48.3,56.4,66.8,1.181673448,54.3569786
417,48.1,56.3,67.3,1.190518309,54.76384221
418,48.2,56.1,67.4,1.192287281,54.84521493
419,48.4,55.8,67.6,1.195825226,55.00796038
420,48.4,55.6,67.3,1.190518309,54.76384221
421,48.5,55.7,66.8,1.181673448,54.3569786
422,48.5,55.9,66.9,1.18344242,54.43835132
423,48.5,56.1,67.3,1.190518309,54.76384221
424,48.4,56.3,67.5,1.194056253,54.92658765
425,48.4,56.2,67.8,1.19936317,55.17070582
426,48.5,56.2,68.1,1.204670087,55.41482399
427,48.3,56,68.3,1.208208031,55.57756943
428,48.3,55.8,68.2,1.206439059,55.49619671
429,48.3,55.6,67.9,1.201132142,55.25207854
430,48.4,55.5,67.4,1.192287281,54.84521493
431,48.4,55.4,67.4,1.192287281,54.84521493
432,48.2,55.2,67.2,1.188749337,54.68246949
433,48.2,55.5,66.9,1.18344242,54.43835132
434,48.3,55.9,66.9,1.18344242,54.43835132
435,48.2,56.2,67,1.185211392,54.51972404
436,48.1,55.9,67.1,1.186980364,54.60109676
437,47.9,55.8,67.1,1.186980364,54.60109676
438,47.8,55.8,67.1,1.186980364,54.60109676
439,47.7,56.1,67.3,1.190518309,54.76384221
440,47.7,56.5,67.4,1.192287281,54.84521493
441,47.5,57.2,67.3,1.190518309,54.76384221
442,47.6,57.1,67.2,1.188749337,54.68246949
443,48,56.8,67.1,1.186980364,54.60109676
444,48.2,56.7,67.4,1.192287281,54.84521493
445,48.5,56.3,67.6,1.195825226,55.00796038
446,48.7,56,67.8,1.19936317,55.17070582
447,48.9,55.7,68.4,1.209977003,55.65894215
448,48.9,55.8,68.5,1.211745976,55.74031488
449,49,56,68.2,1.206439059,55.49619671
450,49,56.1,68,1.202901114,55.33345126
451,48.8,56,68.1,1.204670087,55.41482399
452,48.7,56,67.8,1.19936317,55.17070582
453,48.4,55.9,67.9,1.201132142,55.25207854
454,48.1,55.6,68.3,1.208208031,55.57756943
455,48,55.3,68.7,1.21528392,55.90306032
456,47.9,55.2,68.6,1.213514948,55.8216876
457,48,55.4,68.1,1.204670087,55.41482399
458,48,55.8,67.8,1.19936317,55.17070582
459,48,56.1,68.4,1.209977003,55.65894215
460,48.2,56.2,68.7,1.21528392,55.90306032
461,48.4,56.3,68.4,1.209977003,55.65894215
462,48.7,56.3,68.2,1.206439059,55.49619671
463,48.6,56.3,68,1.202901114,55.33345126
464,48.6,56.2,68,1.202901114,55.33345126
465,48.6,56,67.8,1.19936317,55.17070582
466,48.7,55.7,67.6,1.195825226,55.00796038
467,48.6,55.4,67.8,1.19936317,55.17070582
468,48.5,55.2,67.8,1.19936317,55.17070582
469,48.4,55.3,67.7,1.197594198,55.0893331
470,48.1,55.9,68.1,1.204670087,55.41482399
471,48.1,56.1,68.4,1.209977003,55.65894215
472,47.9,56.5,69,1.220590837,56.14717849
473,47.9,56.7,68.8,1.217052892,55.98443304
474,47.9,56.5,68,1.202901114,55.33345126
475,48.1,56.4,67.4,1.192287281,54.84521493
476,47.9,56.4,67.3,1.190518309,54.76384221
477,48.1,56.7,67.1,1.186980364,54.60109676
478,48.2,56.9,67,1.185211392,54.51972404
479,48.5,57.3,66.9,1.18344242,54.43835132
480,48.6,57.4,67.5,1.194056253,54.92658765
481,48.6,57.3,67.4,1.192287281,54.84521493
482,48.5,56.8,67.6,1.195825226,55.00796038
483,48.7,56.6,68,1.202901114,55.33345126
484,48.6,56.2,68.1,1.204670087,55.41482399
485,48.5,56,67.9,1.201132142,55.25207854
486,48.5,55.7,67.7,1.197594198,55.0893331
487,48.5,55.5,67.3,1.190518309,54.76384221
488,48.3,55.6,67.2,1.188749337,54.68246949
489,48.3,55.7,67.1,1.186980364,54.60109676
490,48.1,55.6,67.7,1.197594198,55.0893331
491,48.3,55.5,68,1.202901114,55.33345126
492,48,55.3,68.5,1.211745976,55.74031488
493,47.9,55.6,68.6,1.213514948,55.8216876
494,47.6,55.9,68.2,1.206439059,55.49619671
495,47.6,56.4,68,1.202901114,55.33345126
496,47.5,56.7,67.7,1.197594198,55.0893331
497,47.7,57,67.6,1.195825226,55.00796038
498,47.9,57,68,1.202901114,55.33345126
499,48.2,57,68.2,1.206439059,55.49619671
500,48.2,56.8,68,1.202901114,55.33345126
501,48.4,56.6,67.2,1.188749337,54.68246949
502,48.6,56.1,66.4,1.174597559,54.03148771
503,49,55.9,66.2,1.171059614,53.86874226
504,49,55.3,66.3,1.172828587,53.95011498
505,49,55.3,66.5,1.176366531,54.11286043
506,48.7,55.3,66.9,1.18344242,54.43835132
507,48.5,55.4,67.5,1.194056253,54.92658765
508,48.1,55.5,68.2,1.206439059,55.49619671
509,47.9,55.9,68.1,1.204670087,55.41482399
510,47.7,55.9,67.6,1.195825226,55.00796038
511,47.7,55.9,67.1,1.186980364,54.60109676
512,47.8,55.9,66.8,1.181673448,54.3569786
513,47.9,56.2,66.3,1.172828587,53.95011498
514,48.1,56.1,66.4,1.174597559,54.03148771
515,48.6,56,66.6,1.178135503,54.19423315
516,48.7,56.1,66.8,1.181673448,54.3569786
517,48.8,56.5,66.6,1.178135503,54.19423315
518,48.8,56.9,66.6,1.178135503,54.19423315
519,49,57.2,66.7,1.179904475,54.27560587
520,48.8,57,66.9,1.18344242,54.43835132
521,48.8,56.8,66.7,1.179904475,54.27560587
522,48.7,56.4,67,1.185211392,54.51972404
523,48.8,56.4,67,1.185211392,54.51972404
524,48.5,56.5,66.9,1.18344242,54.43835132
525,48.3,56.6,66.8,1.181673448,54.3569786
526,48,56.5,66.9,1.18344242,54.43835132
527,48,56.2,67.1,1.186980364,54.60109676
528,47.9,55.7,67.5,1.194056253,54.92658765
529,47.9,55.4,67.3,1.190518309,54.76384221
530,47.9,55.2,67.3,1.190518309,54.76384221
531,48,55.6,67.3,1.190518309,54.76384221
532,48.1,56.2,67.2,1.188749337,54.68246949
533,48.2,56.8,66.6,1.178135503,54.19423315
534,48,57,66.6,1.178135503,54.19423315
535,48.3,57,66.9,1.18344242,54.43835132
536,48.2,57,67.8,1.19936317,55.17070582
537,48.5,57.2,68.3,1.208208031,55.57756943
538,48.6,57,68.7,1.21528392,55.90306032
539,48.8,56.5,68.7,1.21528392,55.90306032
540,48.9,55.9,68.6,1.213514948,55.8216876
541,48.9,55.6,67.9,1.201132142,55.25207854
542,48.8,55.3,67.1,1.186980364,54.60109676
543,48.6,55.8,66.4,1.174597559,54.03148771
544,48.4,56.2,66.7,1.179904475,54.27560587
545,48.2,56.4,66.9,1.18344242,54.43835132
546,47.9,56.2,67.5,1.194056253,54.92658765
547,47.8,56.2,68,1.202901114,55.33345126
548,47.7,56.1,68.7,1.21528392,55.90306032
549,47.6,56.2,69.1,1.222359809,56.22855121
550,47.6,56,68.9,1.218821864,56.06580577
551,48,56.1,68,1.202901114,55.33345126
552,48.2,56.1,67.3,1.190518309,54.76384221
553,48.6,56.3,66.8,1.181673448,54.3569786
554,48.7,56.4,66.6,1.178135503,54.19423315
555,48.9,56.6,66.5,1.176366531,54.11286043
556,48.7,56.8,66.3,1.172828587,53.95011498
557,48.7,56.9,66.2,1.171059614,53.86874226
558,48.6,56.6,66.3,1.172828587,53.95011498
559,48.5,56.2,66.4,1.174597559,54.03148771
560,48.4,55.9,67.2,1.188749337,54.68246949
561,48.3,55.8,67.9,1.201132142,55.25207854
562,48.1,55.5,68.2,1.206439059,55.49619671
563,48.2,55.7,68.4,1.209977003,55.65894215
564,48.2,55.8,68.3,1.208208031,55.57756943
565,48.2,55.7,68,1.202901114,55.33345126
566,48.3,55.3,67.8,1.19936317,55.17070582
567,48.4,55.1,67.3,1.190518309,54.76384221
568,48.4,55.3,67.3,1.190518309,54.76384221
569,48.4,55.9,67.3,1.190518309,54.76384221
570,48.4,56.1,67.5,1.194056253,54.92658765
571,48.6,56.3,67.6,1.195825226,55.00796038
572,48.6,56.3,67.5,1.194056253,54.92658765
573,48.7,56.6,67.6,1.195825226,55.00796038
574,48.7,56.7,67.5,1.194056253,54.92658765
575,48.7,56.9,67,1.185211392,54.51972404
576,48.5,56.7,66.8,1.181673448,54.3569786
577,48.4,56.6,66.4,1.174597559,54.03148771
578,48.3,56,66.4,1.174597559,54.03148771
579,48.4,55.7,66.8,1.181673448,54.3569786
580,48.1,55.6,67.5,1.194056253,54.92658765
581,47.9,55.7,67.8,1.19936317,55.17070582
582,47.8,55.5,67.7,1.197594198,55.0893331
583,47.7,55.5,67.2,1.188749337,54.68246949
584,47.5,55.4,66.4,1.174597559,54.03148771
585,47.7,55.6,65.9,1.165752698,53.62462409
586,47.7,55.7,66.2,1.171059614,53.86874226
587,48.1,55.9,66.8,1.181673448,54.3569786
588,48.2,55.7,67.7,1.197594198,55.0893331
589,48.4,55.9,68.5,1.211745976,55.74031488
590,48.5,55.9,69.1,1.222359809,56.22855121
591,48.8,56.1,69.1,1.222359809,56.22855121
592,48.7,56.5,68.7,1.21528392,55.90306032
593,48.8,56.8,67.8,1.19936317,55.17070582
594,48.8,56.5,67.4,1.192287281,54.84521493
595,48.9,56.4,67.6,1.195825226,55.00796038
596,48.6,56.2,67.8,1.19936317,55.17070582
597,48.6,56.1,68,1.202901114,55.33345126
598,48.4,55.8,68.3,1.208208031,55.57756943
599,48.5,55.9,68.6,1.213514948,55.8216876
600,48.2,55.7,68.8,1.217052892,55.98443304
601,48.2,55.9,68.8,1.217052892,55.98443304
602,48.3,55.8,68.9,1.218821864,56.06580577
603,48.4,55.7,68.9,1.218821864,56.06580577
604,48.4,55.4,68.5,1.211745976,55.74031488
605,48.4,55.6,68,1.202901114,55.33345126
606,48.3,55.5,67.7,1.197594198,55.0893331
607,48.5,55.8,67.3,1.190518309,54.76384221
608,48.3,56,67.2,1.188749337,54.68246949
609,48.2,56.4,67.3,1.190518309,54.76384221
610,48,56.7,67.2,1.188749337,54.68246949
611,48.3,57.1,66.9,1.18344242,54.43835132
612,48,56.9,67.4,1.192287281,54.84521493
613,48,56.9,67.7,1.197594198,55.0893331
614,47.9,56.6,68.2,1.206439059,55.49619671
615,48.1,56.5,68.5,1.211745976,55.74031488
616,48.1,56.2,68.7,1.21528392,55.90306032
617,48.2,56,68.1,1.204670087,55.41482399
618,48.2,55.6,67.3,1.190518309,54.76384221
619,48.3,55.4,66.6,1.178135503,54.19423315
620,48.2,55.3,66.2,1.171059614,53.86874226
621,48.4,55.6,66.3,1.172828587,53.95011498
622,48.4,55.4,66.9,1.18344242,54.43835132
623,48.5,55.6,67.7,1.197594198,55.0893331
624,48.4,55.6,68.4,1.209977003,55.65894215
625,48.5,55.9,68.3,1.208208031,55.57756943
626,48.5,55.7,68,1.202901114,55.33345126
627,48.8,55.4,67.6,1.195825226,55.00796038
628,48.8,55.2,67.4,1.192287281,54.84521493
629,48.9,55.4,67.7,1.197594198,55.0893331
630,48.8,55.6,68.1,1.204670087,55.41482399
631,48.7,56.1,68.2,1.206439059,55.49619671
632,,,56.53,1,46